,,,,COUCH TO HALF MARATHON TRAINING PLAN : KM,,,,,,
WEEK,Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly Mileage,
1,,Rest Day,"Walk / Run 10 x 
2 min walk
1 min run",Rest Day,"Walk / Run 10 x 
2 min walk
1 min run",Strength Training 45-60 mins,Rest Day,Long Run 2.5k (walk if needed),"Around
9k",5K PHASE
,,,,,,,,,,
,,,,,,,,,,
2,,Rest Day,"Walk / Run 15 x 
1 min walk
1 min run",Rest Day,"Walk / Run 15 x 
1 min walk
1 min run",Strength Training 45-60 mins,"Walk / Run 15 x 
1 min walk
1 min run",Long Run 3k (walk if needed),"Around
13k",
,,,,,,,,,,
,,,,,,,,,,
3,,Rest Day,"Walk / Run 15 x 
0.5 min walk
1.5 min run",Rest Day,"Walk / Run 15 x 
0.5 min walk
1.5 min run",Strength Training 45-60 mins,"Walk / Run 15 x 
0.5 min walk
1.5 min run",Long Run 4k (walk if needed),"Around
15k",
,,,"15 x 
0.5 min walk
1.5 min run",,"15 x 
0.5 min walk
1.5 min run",,"15 x 
0.5 min walk
1.5 min run",4k (walk if needed),,
,,,,,,45-60 mins,,,,
4,,Rest Day,"Walk / Run 10 x 
1 min walk
2 min run",Rest Day,"Walk / Run 10 x 
1 min walk
2 min run",Strength Training 45-60 mins,Rest Day,5 k,"Around
13k",
,,,"10 x 
1 min walk
2 min run",,"10 x 
1 min walk
2 min run",,,,,
,,,,,,45-60 mins,,,,
5,,Rest Day,4 k,3 k,Rest Day,4 k,Strength Training,6 k,17 k,10K PHASE
,,,4 k,3 k,,4 k,,6 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
6,,Rest Day,4 k,3 k,Rest Day,4 k,Strength Training,7 k,18 k,
,,,4 k,3 k,,4 k,,7 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
7,,Rest Day,5 k,7 k,Rest Day,5 k,Strength Training,8 k,25 k,
,,,5 k,7 k,,5 k,,8 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
8,,Rest Day,5 k,7 k,Rest Day,5 k,Strength Training,10 k,27 k,
,,,5 k,7 k,,5 k,,,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,,,
9,,Rest Day,5 k,7 k,Rest Day,5 k,Strength Training,8 k,25 k,HALF MARATHON  PHASE
,,,5 k,7 k,,5 k,,8 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
10,,Rest Day,5 k,7 k,Rest Day,5 k,Strength Training,11 k,28 k,
,,,5 k,7 k,,5 k,,11 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
11,,Rest Day,7 k,8 k,Rest Day,7 k,Strength Training,12 k,34 k,
,,,7 k,8 k,,7 k,,12 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
12,,Rest Day,7 k,8 k,Rest Day,7 k,Strength Training,10 k,32 k,
,,,7 k,8 k,,7 k,,10 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
13,,Rest Day,7 k,8 k,Rest Day,7 k,Strength Training,15 k,37 k,
,,,7 k,8 k,,7 k,,15 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
14,,Rest Day,7 k,10 k,Rest Day,7 k,Strength Training,17 k,41 k,
,,,7 k,10 k,,7 k,,17 k,,
,,,RPE: 3-4,RPE: 3-4,,RPE: 3-4,45-60 mins,RPE: 2-3,,
15,,Rest Day,5 k,Rest Day,5 k,Rest Day,3 k,21.1 k,34 k,
,,,5 k,,5 k,,3 k,21.1 k,,
,,,RPE: 3-4,,RPE: 2-3,,RPE: 2-3,RPE: 2-3,,
